Facility Type,Visit Date,Average Time Spent
Specialty Center,2026-03-29,36.5
Hospital,2026-03-29,20
Clinic,2026-03-29,60
Specialty Center,2026-03-28,47.25
Hospital,2026-03-28,23.5
Clinic,2026-03-28,25
Specialty Center,2026-03-27,29
Hospital,2026-03-27,36.25
Clinic,2026-03-27,47
Specialty Center,2026-03-26,53
Hospital,2026-03-26,50.33
Clinic,2026-03-26,29.33
Specialty Center,2026-03-25,38
Clinic,2026-03-25,27.5
Specialty Center,2026-03-24,29.5
Hospital,2026-03-24,43
Clinic,2026-03-24,31
Specialty Center,2026-03-23,59
Hospital,2026-03-23,43
Clinic,2026-03-23,51.67
